# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p
  3.82001496134607e+00  -4.94824026589944e-01  -1.49176319532340e-01  -7.61836245642456e-02   4.42969328798596e-01   1.74130621697062e-01
  3.87458517507958e+00  -4.92749519081424e-01  -1.43854783609268e-01  -7.22631225824392e-02   4.43098609925767e-01   1.71114464657754e-01
  3.92915538881310e+00  -4.90447974472478e-01  -1.38374701137991e-01  -6.82489623413892e-02   4.43060053977013e-01   1.67962025479975e-01
  3.98372560254661e+00  -4.87930637294181e-01  -1.32744983962579e-01  -6.41477630296271e-02   4.42858220459671e-01   1.64677537839317e-01
  4.03829581628013e+00  -4.85208473378762e-01  -1.26974400683780e-01  -5.99660504150539e-02   4.42497665352493e-01   1.61265250425392e-01
  4.09286603001364e+00  -4.82292167516771e-01  -1.21071570784061e-01  -5.57102517567534e-02   4.41982934665689e-01   1.57729421048102e-01
  4.14743624374716e+00  -4.79192121952869e-01  -1.15044959404889e-01  -5.13866911796448e-02   4.41318558443832e-01   1.54074311057701e-01
  4.20200645748067e+00  -4.75918455647091e-01  -1.08902872735132e-01  -4.70015854860640e-02   4.40509045189671e-01   1.50304180066530e-01
  4.25657667121419e+00  -4.72481004233735e-01  -1.02653453971896e-01  -4.25610403797622e-02   4.39558876687862e-01   1.46423280960736e-01
  4.31114688494770e+00  -4.68889320614814e-01  -9.63046798173056e-02  -3.80710470791210e-02   4.38472503208554e-01   1.42435855190671e-01
  4.36571709868122e+00  -4.65152676129607e-01  -8.98643574768731e-02  -3.35374792976163e-02   4.37254339071606e-01   1.38346128329049e-01
  4.42028731241473e+00  -4.61280062246007e-01  -8.33401221270508e-02  -2.89660905707197e-02   4.35908758553107e-01   1.34158305886332e-01
  4.47485752614825e+00  -4.57280192723284e-01  -7.67394348214138e-02  -2.43625119095154e-02   4.34440092116620e-01   1.29876569373131e-01
  4.52942773988176e+00  -4.53161506199557e-01  -7.00695808066596e-02  -1.97322497623363e-02   4.32852622952381e-01   1.25505072599811e-01
  4.58399795361528e+00  -4.48932169160632e-01  -6.33376682212429e-02  -1.50806842666874e-02   4.31150583808409e-01   1.21047938203784e-01
  4.63856816734879e+00  -4.44600079250037e-01  -5.65506271510004e-02  -1.04130677746380e-02   4.29338154098204e-01   1.16509254395299e-01
  4.69313838108231e+00  -4.40172868883050e-01  -4.97152090175650e-02  -5.73452363572186e-03   4.27419457270365e-01   1.11893071912889e-01
  4.74770859481583e+00  -4.35657909130219e-01  -4.28379862767337e-02  -1.05004522219601e-03   4.25398558426147e-01   1.07203401179886e-01
  4.80227880854934e+00  -4.31062313838492e-01  -3.59253524052342e-02   3.63550481772119e-03   4.23279462171579e-01   1.02444209653761e-01
  4.85684902228286e+00  -4.26392943960398e-01  -2.89835221555466e-02   8.31739509228990e-03   4.21066110691362e-01   9.76194193602845e-02
  4.91141923601637e+00  -4.21656412064003e-01  -2.20185320595790e-02   1.29910257973347e-02   4.18762382032365e-01   9.27329046048090e-02
  4.96598944974989e+00  -4.16859086998397e-01  -1.50362411630711e-02   1.76519288582959e-02   4.16372088585051e-01   8.77884898532304e-02
  5.02055966348340e+00  -4.12007098691426e-01  -8.04233197361948e-03   2.22957678949487e-02   4.13898975751731e-01   8.27899477754410e-02
  5.07512987721692e+00  -4.07106343058174e-01  -1.04231160617773e-03   2.69183380199099e-02   4.11346720791029e-01   7.77409974443387e-02
  5.12970009095043e+00  -4.02162487000402e-01   5.95848688920759e-03   3.15155654814976e-02   4.08718931828419e-01   7.26453026836987e-02
  5.18427030468395e+00  -3.97180973478688e-01   1.29549030318046e-02   3.60835071609832e-02   4.06019147023191e-01   6.75064705584470e-02
  5.23884051841746e+00  -3.92167026640512e-01   1.99419472603164e-02   4.06183499337775e-02   4.03250833882612e-01   6.23280500011002e-02
  5.29341073215098e+00  -3.87125656988864e-01   2.69147991415150e-02   4.51164099036178e-02   4.00417388714507e-01   5.71135305683567e-02
  5.34798094588449e+00  -3.82061666577244e-01   3.38688054494630e-02   4.95741315183741e-02   3.97522136209865e-01   5.18663413220356e-02
  5.40255115961801e+00  -3.76979654218102e-01   4.07994781267105e-02   5.39880865756626e-02   3.94568329147499e-01   4.65898498287642e-02
  5.45712137335152e+00  -3.71884020692860e-01   4.77024921382035e-02   5.83549731260497e-02   3.91559148213140e-01   4.12873612730147e-02
  5.51169158708504e+00  -3.66778973952722e-01   5.45736832280233e-02   6.26716142812410e-02   3.88497701925712e-01   3.59621176782817e-02
