# r(a.u.)  Vcoulomb(Ha)  Veff(Ha)
  1.14767076692293E+00  -8.71330026712400E-01  -8.91536145335911E-01
  1.15517122945184E+00  -8.65672529322364E-01  -8.85092119518176E-01
  1.16267169198075E+00  -8.60088025620011E-01  -8.78752052747521E-01
  1.17017215450966E+00  -8.54575112000537E-01  -8.72513303205531E-01
  1.17767261703856E+00  -8.49132420616733E-01  -8.66373315420210E-01
  1.18517307956747E+00  -8.43758618247512E-01  -8.60329617005212E-01
  1.19267354209638E+00  -8.38452405209127E-01  -8.54379815535119E-01
  1.20017400462529E+00  -8.33212514307218E-01  -8.48521595550573E-01
  1.20767446715420E+00  -8.28037709827908E-01  -8.42752715687384E-01
  1.21517492968311E+00  -8.22926786566261E-01  -8.37071005924012E-01
  1.22267539221201E+00  -8.17878568890506E-01  -8.31474364942125E-01
  1.23017585474092E+00  -8.12891909840486E-01  -8.25960757595150E-01
  1.23767631726983E+00  -8.07965690258891E-01  -8.20528212480041E-01
  1.24517677979874E+00  -8.03098817953892E-01  -8.15174819607648E-01
  1.25267724232765E+00  -7.98290226891856E-01  -8.09898728167368E-01
  1.26017770485655E+00  -7.93538876418886E-01  -8.04698144381890E-01
  1.26767816738546E+00  -7.88843750510007E-01  -7.99571329448136E-01
  1.27517862991437E+00  -7.84203857044837E-01  -7.94516597560577E-01
  1.28267909244328E+00  -7.79618227108681E-01  -7.89532314013390E-01
  1.29017955497219E+00  -7.75085914317995E-01  -7.84616893378009E-01
  1.29768001750109E+00  -7.70605994169250E-01  -7.79768797752842E-01
  1.30518048003000E+00  -7.66177563410244E-01  -7.74986535082018E-01
  1.31268094255891E+00  -7.61799739432968E-01  -7.70268657540243E-01
  1.32018140508782E+00  -7.57471659687163E-01  -7.65613759980917E-01
  1.32768186761673E+00  -7.53192481113766E-01  -7.61020478444828E-01
  1.33518233014563E+00  -7.48961379597441E-01  -7.56487488726864E-01
  1.34268279267454E+00  -7.44777549437467E-01  -7.52013504998283E-01
  1.35018325520345E+00  -7.40640202836256E-01  -7.47597278482210E-01
  1.35768371773236E+00  -7.36548569404830E-01  -7.43237596180122E-01
  1.36518418026127E+00  -7.32501895684597E-01  -7.38933279647191E-01
  1.37268464279017E+00  -7.28499444684804E-01  -7.34683183814465E-01
  1.38018510531908E+00  -7.24540495435076E-01  -7.30486195855913E-01
  1.38768556784799E+00  -7.20624342552463E-01  -7.26341234098517E-01
  1.39518603037690E+00  -7.16750295822456E-01  -7.22247246973590E-01
  1.40268649290581E+00  -7.12917679793436E-01  -7.18203212007669E-01
  1.41018695543471E+00  -7.09125833384080E-01  -7.14208134851338E-01
  1.41768741796362E+00  -7.05374109503213E-01  -7.10261048344432E-01
  1.42518788049253E+00  -7.01661874681681E-01  -7.06361011616152E-01
  1.43268834302144E+00  -6.97988508715769E-01  -7.02507109218667E-01
  1.44018880555035E+00  -6.94353404321779E-01  -6.98698450292851E-01
  1.44768926807925E+00  -6.90755966801333E-01  -6.94934167764860E-01
  1.45518973060816E+00  -6.87195613717033E-01  -6.91213417572304E-01
  1.46269019313707E+00  -6.83671774578096E-01  -6.87535377918844E-01
  1.47019065566598E+00  -6.80183890535620E-01  -6.83899248556052E-01
  1.47769111819489E+00  -6.76731414087118E-01  -6.80304250091476E-01
  1.48519158072380E+00  -6.73313808790014E-01  -6.76749623321852E-01
  1.49269204325270E+00  -6.69930548983777E-01  -6.73234628590477E-01
  1.50019250578161E+00  -6.66581119520386E-01  -6.69758545167779E-01
  1.50769296831052E+00  -6.63265015502840E-01  -6.66320670654186E-01
  1.51519343083943E+00  -6.59981742031440E-01  -6.62920320404405E-01
  1.52269389336834E+00  -6.56730813957565E-01  -6.59556826972282E-01
  1.53019435589724E+00  -6.53511755644688E-01  -6.56229539575442E-01
  1.53769481842615E+00  -6.50324100736394E-01  -6.52937823578931E-01
  1.54519528095506E+00  -6.47167391931146E-01  -6.49681059997133E-01
  1.55269574348397E+00  -6.44041180763581E-01  -6.46458645013246E-01
  1.56019620601288E+00  -6.40945027392117E-01  -6.43269989515655E-01
  1.56769666854178E+00  -6.37878500392659E-01  -6.40114518650530E-01
  1.57519713107069E+00  -6.34841176558188E-01  -6.36991671390055E-01
  1.58269759359960E+00  -6.31832640704062E-01  -6.33900900115665E-01
  1.59019805612851E+00  -6.28852485478820E-01  -6.30841670215737E-01
