# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p  R_3d
  2.17613413338334E-01   1.94763638917421E-01   9.58997984101981E-02   5.95139866742147E-02   1.25397566377643E-02   7.43098838506108E-03   1.08978194084052E-04
  2.25113875867242E-01   1.96898011685429E-01   9.69333033427934E-02   6.01520943178626E-02   1.32761037821010E-02   7.86692744077881E-03   1.19597205881557E-04
  2.32614338396150E-01   1.98847907671316E-01   9.78748077714865E-02   6.07328895904466E-02   1.40275646313195E-02   8.31176020278315E-03   1.30849222476758E-04
  2.40114800925058E-01   2.00619798116538E-01   9.87275025207468E-02   6.12583535618493E-02   1.47937839481813E-02   8.76527217952012E-03   1.42748997102052E-04
  2.47615263453966E-01   2.02219913980523E-01   9.94944607782277E-02   6.17303944278287E-02   1.55744196883875E-02   9.22725663477812E-03   1.55311076732859E-04
  2.55115725982874E-01   2.03654255012032E-01   1.00178642529164E-01   6.21508502558787E-02   1.63691423812666E-02   9.69751422215935E-03   1.68549809662935E-04
  2.62616188511782E-01   2.04928598519252E-01   1.00782898844313E-01   6.25214916405550E-02   1.71776345365407E-02   1.01758526349490E-02   1.82479352591249E-04
  2.70116651040690E-01   2.06048507843894E-01   1.01309976023934E-01   6.28440242697893E-02   1.79995900763340E-02   1.06620862708915E-02   1.97113677245331E-04
  2.77617113569598E-01   2.07019340545024E-01   1.01762519600507E-01   6.31200914038531E-02   1.88347137915921E-02   1.11560359113849E-02   2.12466576565146E-04
  2.85117576098506E-01   2.07846256298718E-01   1.02143078203087E-01   6.33512762687449E-02   1.96827208220873E-02   1.16575284146082E-02   2.28551670470626E-04
  2.92618038627414E-01   2.08534224519921E-01   1.02454107286342E-01   6.35391043658751E-02   2.05433361591942E-02   1.21663964221025E-02   2.45382411235179E-04
  3.00118501156322E-01   2.09088031713128E-01   1.02697972727435E-01   6.36850456999907E-02   2.14162941706301E-02   1.26824780783312E-02   2.62972088486560E-04
  3.07618963685230E-01   2.09512288558672E-01   1.02876954294007E-01   6.37905169273505E-02   2.23013381463698E-02   1.32056167627544E-02   2.81333833855693E-04
  3.15119426214138E-01   2.09811436741567E-01   1.02993248986598E-01   6.38568834261978E-02   2.31982198649577E-02   1.37356608339597E-02   3.00480625293172E-04
  3.22619888743046E-01   2.09989755529906E-01   1.03048974258877E-01   6.38854612916162E-02   2.41066991794556E-02   1.42724633854001E-02   3.20425291072334E-04
  3.30120351271954E-01   2.10051368109905E-01   1.03046171119092E-01   6.38775192568678E-02   2.50265436222830E-02   1.48158820123025E-02   3.41180513497021E-04
  3.37620813800863E-01   2.10000247684671E-01   1.02986807116176E-01   6.38342805433300E-02   2.59575280282230E-02   1.53657785893162E-02   3.62758832331344E-04
  3.45121276329771E-01   2.09840223343797E-01   1.02872779213914E-01   6.37569246411399E-02   2.68994341748854E-02   1.59220190584857E-02   3.85172647967999E-04
  3.52621738858679E-01   2.09574985710821E-01   1.02705916556600E-01   6.36465890226556E-02   2.78520504399398E-02   1.64844732271404E-02   4.08434224350954E-04
