# r(a.u.)  Vcoulomb(Ha)  Veff(Ha)
  1.14767076692293e+00  -8.71330026712400e-01  -8.91536145335911e-01
  1.15517122945184e+00  -8.65672529322364e-01  -8.85092119518176e-01
  1.16267169198075e+00  -8.60088025620011e-01  -8.78752052747521e-01
  1.17017215450966e+00  -8.54575112000537e-01  -8.72513303205531e-01
  1.17767261703856e+00  -8.49132420616733e-01  -8.66373315420210e-01
  1.18517307956747e+00  -8.43758618247512e-01  -8.60329617005212e-01
  1.19267354209638e+00  -8.38452405209127e-01  -8.54379815535119e-01
  1.20017400462529e+00  -8.33212514307218e-01  -8.48521595550573e-01
  1.20767446715420e+00  -8.28037709827908e-01  -8.42752715687384e-01
  1.21517492968311e+00  -8.22926786566261e-01  -8.37071005924012e-01
  1.22267539221201e+00  -8.17878568890506e-01  -8.31474364942125e-01
  1.23017585474092e+00  -8.12891909840486e-01  -8.25960757595150e-01
  1.23767631726983e+00  -8.07965690258891e-01  -8.20528212480041e-01
  1.24517677979874e+00  -8.03098817953892e-01  -8.15174819607648e-01
  1.25267724232765e+00  -7.98290226891856e-01  -8.09898728167368e-01
  1.26017770485655e+00  -7.93538876418886e-01  -8.04698144381890e-01
  1.26767816738546e+00  -7.88843750510007e-01  -7.99571329448136e-01
  1.27517862991437e+00  -7.84203857044837e-01  -7.94516597560577e-01
  1.28267909244328e+00  -7.79618227108681e-01  -7.89532314013390e-01
  1.29017955497219e+00  -7.75085914317995e-01  -7.84616893378009e-01
  1.29768001750109e+00  -7.70605994169250e-01  -7.79768797752842e-01
  1.30518048003000e+00  -7.66177563410244e-01  -7.74986535082018e-01
  1.31268094255891e+00  -7.61799739432968e-01  -7.70268657540243e-01
  1.32018140508782e+00  -7.57471659687163e-01  -7.65613759980917e-01
  1.32768186761673e+00  -7.53192481113766e-01  -7.61020478444828e-01
  1.33518233014563e+00  -7.48961379597441e-01  -7.56487488726864e-01
  1.34268279267454e+00  -7.44777549437467e-01  -7.52013504998283e-01
  1.35018325520345e+00  -7.40640202836256e-01  -7.47597278482210e-01
  1.35768371773236e+00  -7.36548569404830e-01  -7.43237596180122e-01
  1.36518418026127e+00  -7.32501895684597e-01  -7.38933279647191e-01
  1.37268464279017e+00  -7.28499444684804e-01  -7.34683183814465e-01
  1.38018510531908e+00  -7.24540495435076e-01  -7.30486195855913e-01
  1.38768556784799e+00  -7.20624342552463e-01  -7.26341234098517e-01
  1.39518603037690e+00  -7.16750295822456e-01  -7.22247246973590e-01
  1.40268649290581e+00  -7.12917679793436e-01  -7.18203212007669e-01
  1.41018695543471e+00  -7.09125833384080e-01  -7.14208134851338e-01
  1.41768741796362e+00  -7.05374109503213e-01  -7.10261048344432e-01
  1.42518788049253e+00  -7.01661874681681e-01  -7.06361011616152e-01
  1.43268834302144e+00  -6.97988508715769e-01  -7.02507109218667e-01
  1.44018880555035e+00  -6.94353404321779e-01  -6.98698450292851e-01
  1.44768926807925e+00  -6.90755966801333e-01  -6.94934167764860e-01
  1.45518973060816e+00  -6.87195613717033e-01  -6.91213417572304e-01
  1.46269019313707e+00  -6.83671774578096e-01  -6.87535377918844e-01
  1.47019065566598e+00  -6.80183890535620e-01  -6.83899248556052e-01
  1.47769111819489e+00  -6.76731414087118e-01  -6.80304250091476e-01
  1.48519158072380e+00  -6.73313808790014e-01  -6.76749623321852e-01
  1.49269204325270e+00  -6.69930548983777e-01  -6.73234628590477e-01
  1.50019250578161e+00  -6.66581119520386e-01  -6.69758545167779e-01
  1.50769296831052e+00  -6.63265015502840e-01  -6.66320670654186e-01
  1.51519343083943e+00  -6.59981742031440e-01  -6.62920320404405e-01
  1.52269389336834e+00  -6.56730813957565e-01  -6.59556826972282e-01
  1.53019435589724e+00  -6.53511755644688e-01  -6.56229539575442e-01
  1.53769481842615e+00  -6.50324100736394e-01  -6.52937823578931e-01
  1.54519528095506e+00  -6.47167391931146e-01  -6.49681059997133e-01
  1.55269574348397e+00  -6.44041180763581e-01  -6.46458645013246e-01
  1.56019620601288e+00  -6.40945027392117e-01  -6.43269989515655e-01
  1.56769666854178e+00  -6.37878500392659e-01  -6.40114518650530e-01
  1.57519713107069e+00  -6.34841176558188e-01  -6.36991671390055e-01
  1.58269759359960e+00  -6.31832640704062e-01  -6.33900900115665e-01
  1.59019805612851e+00  -6.28852485478820e-01  -6.30841670215737e-01
