r	psi_1	psi_2	psi_3	psi_4	psi_5	psi_6	psi_7
3.920833333333333	0.0009661989383731082	-0.031815159404500484	-0.009308104737378477	-0.006256917741127293	0.028600630344865267	0.011474141741648463	0.009362695416777582
3.9625	0.000909836044968284	-0.031700318193815226	-0.00903343274595469	-0.005957344459169032	0.02860074369653122	0.011312971722080576	0.009122900854448654
4.0041666666666655	0.0008567049721430128	-0.03157729235292279	-0.008753022533574194	-0.005653120369377596	0.028594645375992576	0.011146563751582564	0.00887766831398069
4.0458333333333325	0.0008066248117461005	-0.03144640157230519	-0.00846713201875956	-0.0053445344973998814	0.028582466517212166	0.010975045474458758	0.008627184266906649
4.0875	0.0007594244270530885	-0.03130795928077445	-0.008176015797857206	-0.005031872643279166	0.028564338118681157	0.010798544827274718	0.008371635634887652
4.1291666666666655	0.0007149419547001572	-0.031162272615750632	-0.007879925051324644	-0.004715417251886522	0.02854039093748319	0.010617189937066347	0.008111209645699034
4.1708333333333325	0.0006730243293947281	-0.031009642403960883	-0.007579107458326018	-0.00439544729218537	0.02851075538898705	0.010431109023714491	0.007846093694219262
4.2125	0.0006335268306076368	-0.030850363151848303	-0.007273807119230887	-0.004072238144960936	0.028475561451954897	0.010240430306362331	0.007576475208302623
4.2541666666666655	0.00059631265045315	-0.0306847230450206	-0.006964264485628454	-0.0037460614986613056	0.028434938578857327	0.01004528191375506	0.007302541519419405
4.2958333333333325	0.0005612524819683544	-0.03051300395610386	-0.006650716297487745	-0.0034171852530113767	0.02838901561119577	0.009845791798385793	0.0070244797379495376
4.3375	0.0005282241270117687	-0.030335481460403747	-0.006333395527109843	-0.003085873430074072	0.02833792069963879	0.009642087654333793	0.00674247663301782
4.3791666666666655	0.0004971121230120497	-0.03015242485880772	-0.006012531329534522	-0.002752386092446702	0.02828178122878486	0.009434296838684323	0.006456718516761465
4.4208333333333325	0.00046780738781096605	-0.029964097207396345	-0.005688348999078381	-0.002416979268292292	0.02822072374637065	0.00922254629642215	0.006167391132922768
4.4625	0.000440206881859996	-0.029770755353258908	-0.005361069931695873	-0.0020799048829177034	0.02815487389675056	0.009006962488693893	0.005874679549661709
4.5041666666666655	0.00041421328704659393	-0.029572649976037427	-0.00503091159286811	-0.0017414106966216298	0.028084356358478585	0.008787671324336832	0.005578768056486067
4.5458333333333325	0.0003897347014441523	-0.029370025634750975	-0.004698087490737401	-0.0014017402485463004	0.02800929478582903	0.008564798094574414	0.005279840065197848
4.5875	0.0003666843492986211	-0.02916312081947651	-0.004362807154217665	-0.0010611328062770213	0.02792981175409903	0.00833846741078175	0.004978078014757646
4.6291666666666655	0.0003449803055844482	-0.028952168007486987	-0.004025276115822815	-0.0007198233209435202	0.027846028708540027	0.008108803145226086	0.004673663279970233
4.6708333333333325	0.00032454523448277573	-0.02873739372346975	-0.0036856958989662193	-0.00037804238758648736	0.02775806591677196	0.007875928374690793	0.004366776083896576
4.7125	0.0003053061411554516	-0.028519018603469344	-0.00334426400949543	-3.6016210561778946e-05	0.027666042424537175	0.00763996532689282	0.004057595413899572
4.7541666666666655	0.0002871941362093124	-0.028297257462220646	-0.0030011739312362008	0.0003060334262366976	0.02757007601465764	0.007401035329606485	0.003746298941232723
4.7958333333333325	0.00027014421226610193	-0.028072319363556582	-0.002656615125329988	0.0006478891845460523	0.02747028316906244	0.007159258762408559	0.003433062944082596
4.8375	0.0002540950320743884	-0.027844407693592695	-0.002310773033158305	0.0009893381924981487	0.027366779033758035	0.0069147550109620055	0.003118062233978
4.8791666666666655	0.00023898872762060687	-0.02761372023640912	-0.0019638290826562957	0.0013301720611731212	0.02725967738661793	0.006667642423757567	0.0028014700854803324
4.9208333333333325	0.00022477070971700528	-0.02738044925196564	-0.0016159606978264622	0.0016701868971304831	0.02714909060787136	0.006418038271234977	0.0024834581690715888
4.9625	0.00021138948756457203	-0.027144781556002747	-0.0012673413112716898	0.0020091833110986363	0.02703512965317721	0.006166058707207142	0.002164196487157967
5.0041666666666655	0.0001987964978090464	-0.026906898601694568	-0.000918140379574534	0.0023469664229968288	0.02691790402917188	0.005911818732513195	0.0018438533131088148
5.0458333333333325	0.00018694594262768727	-0.02666697656283517	-0.000568523401357263	0.002683345863457187	0.02679752177138272	0.005655432160827804	0.0015225951332523578
