# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p
8.02649490593162e-01 8.76634985470985e-02 3.92106477767574e-02 2.36011120942711e-02 9.88913891521275e-02 5.80133333007380e-02
8.10149953122070e-01 8.47508412497413e-02 3.77085192321933e-02 2.26565438561370e-02 1.00233095192921e-01 5.87879319730968e-02
8.17650415650978e-01 8.18270838528751e-02 3.62009919846376e-02 2.17086485303425e-02 1.01577961264530e-01 5.95639198655798e-02
8.25150878179886e-01 7.88927556552969e-02 3.46883466186581e-02 2.07576041446192e-02 1.02925901977493e-01 6.03412403819871e-02
8.32651340708794e-01 7.59483733170386e-02 3.31708574898965e-02 1.98035848591365e-02 1.04276832484825e-01 6.11198372513262e-02
8.40151803237702e-01 7.29944412502535e-02 3.16487929146791e-02 1.88467610835744e-02 1.05630668476870e-01 6.18996545253509e-02
8.47652265766610e-01 7.00314519948951e-02 3.01224153521768e-02 1.78872995895801e-02 1.06987326176667e-01 6.26806365763955e-02
8.55152728295518e-01 6.70598865798288e-02 2.85919815794324e-02 1.69253636188063e-02 1.08346722335785e-01 6.34627280954853e-02
8.62653190824426e-01 6.40802148699897e-02 2.70577428595552e-02 1.59611129867153e-02 1.09708774230605e-01 6.42458740907011e-02
8.70153653353334e-01 6.10928959001737e-02 2.55199451033737e-02 1.49947041823319e-02 1.11073399659015e-01 6.50300198857797e-02
8.77654115882243e-01 5.80983781960252e-02 2.39788290248210e-02 1.40262904641142e-02 1.12440516937472e-01 6.58151111189328e-02
8.85154578411151e-01 5.50971000827574e-02 2.24346302903208e-02 1.30560219521077e-02 1.13810044898429e-01 6.66010937418664e-02
8.92655040940059e-01 5.20894899821234e-02 2.08875796624243e-02 1.20840457165409e-02 1.15181902888073e-01 6.73879140189855e-02
9.00155503468967e-01 4.90759666981287e-02 1.93379031379441e-02 1.11105058630115e-02 1.16556010764373e-01 6.81755185267681e-02
9.07655965997875e-01 4.60569396919594e-02 1.77858220808156e-02 1.01355436144089e-02 1.17932288895390e-01 6.89638541532949e-02
9.15156428526783e-01 4.30328093465773e-02 1.62315533499081e-02 9.15929738970997e-03 1.19310658157847e-01 6.97528680979209e-02
9.22656891055691e-01 4.00039672214138e-02 1.46753094220008e-02 8.18190287978148e-03 1.20691039935920e-01 7.05425078710762e-02
9.30157353584599e-01 3.69707962975788e-02 1.31172985101253e-02 7.20349312031456e-03 1.22073356120248e-01 7.13327212941834e-02
9.37657816113507e-01 3.39336712139789e-02 1.15577246774706e-02 6.22419856201296e-03 1.23457529107126e-01 7.21234564996817e-02
9.45158278642415e-01 3.08929584947264e-02 9.99678794703815e-03 5.24414713815083e-03 1.24843481797869e-01 7.29146619311452e-02
9.52658741171323e-01 2.78490167682005e-02 8.43468440722393e-03 4.26346432961093e-03 1.26231137598337e-01 7.37062863434870e-02
9.60159203700231e-01 2.48021969781096e-02 6.87160631350074e-03 3.28227322750952e-03 1.27620420418591e-01 7.44982788032386e-02
9.67659666229139e-01 2.17528425868871e-02 5.30774218636274e-03 2.30069459350940e-03 1.29011254672684e-01 7.52905886888964e-02
9.75160128758047e-01 1.87012897717394e-02 3.74327690568992e-03 1.31884691791857e-03 1.30403565278548e-01 7.60831656913266e-02
9.82660591286955e-01 1.56478676136503e-02 2.17839180168211e-03 3.36846475667287e-04 1.31797277657990e-01 7.68759598142204e-02
9.90161053815864e-01 1.25928982796343e-02 6.13264742506222e-04 -6.45192619747176e-04 1.33192317736765e-01 7.76689213745935e-02
9.97661516344772e-01 9.53669719851796e-03 -9.51929781206081e-04 -1.62715836426299e-03 1.34588611944726e-01 7.84620010033211e-02
1.00516197887368e+00 6.47957323051603e-03 -2.51702057487864e-03 -2.60894081312185e-03 1.35986087216030e-01 7.92551496457040e-02
1.01266244140259e+00 3.42182883085892e-03 -4.08183966140335e-03 -3.59043203252460e-03 1.37384670989404e-01 8.00483185620584e-02
1.02016290393150e+00 3.63760207715698e-04 -5.64622220532453e-03 -4.57152605299978e-03 1.38784291208445e-01 8.08414593283242e-02
1.02766336646040e+00 -2.69434252535258e-03 -7.21000643967991e-03 -5.55211882441356e-03 1.40184876321961e-01 8.16345238366870e-02
1.03516382898931e+00 -5.75219520218528e-03 -8.77303359538804e-03 -6.53210817255280e-03 1.41586355284329e-01 8.24274642962085e-02
1.04266429151822e+00 -8.80951946184543e-03 -1.03351478330766e-02 -7.51139375721558e-03 1.42988657555876e-01 8.32202332334611e-02
1.05016475404713e+00 -1.18660426112685e-02 -1.18961961772508e-02 -8.48987703174684e-03 1.44391713103271e-01 8.40127834931619e-02
1.05766521657604e+00 -1.49214974925402e-02 -1.34560284527048e-02 -9.46746120395906e-03 1.45795452399916e-01 8.48050682388034e-02
1.06516567910494e+00 -1.79756223546145e-02 -1.50144972230842e-02 -1.04440511983806e-02 1.47199806426337e-01 8.55970409532763e-02
1.07266614163385e+00 -2.10281607292930e-02 -1.65714577315113e-02 -1.14195536197772e-02 1.48604706670571e-01 8.63886554394809e-02
1.08016660416276e+00 -2.40788613112913e-02 -1.81267678431878e-02 -1.23938767178933e-02 1.50010085128530e-01 8.71798658209258e-02
1.08766706669167e+00 -2.71274778422299e-02 -1.96802879898943e-02 -1.33669303533643e-02 1.51415874304358e-01 8.79706265423084e-02
1.09516752922058e+00 -3.01737689983890e-02 -2.12318811163091e-02 -1.43386259647504e-02 1.52822007210755e-01 8.87608923700772e-02
1.10266799174948e+00 -3.32174982820782e-02 -2.27814126280725e-02 -1.53088765366466e-02 1.54228417369286e-01 8.95506183929718e-02
