# r(a.u.)  Vcoulomb(Ha)  Veff(Ha)
  8.78590441109595E+00  -1.13818675142547E-01  -1.13818675142547E-01
  8.84047462482947E+00  -1.13116098675448E-01  -1.13116098675448E-01
  8.89504483856298E+00  -1.12422142681582E-01  -1.12422142681582E-01
  8.94961505229650E+00  -1.11736649471130E-01  -1.11736649471130E-01
  9.00418526603001E+00  -1.11059465177009E-01  -1.11059465177009E-01
  9.05875547976353E+00  -1.10390439639740E-01  -1.10390439639740E-01
  9.11332569349704E+00  -1.09729426296436E-01  -1.09729426296436E-01
  9.16789590723056E+00  -1.09076282073765E-01  -1.09076282073765E-01
  9.22246612096408E+00  -1.08430867284711E-01  -1.08430867284711E-01
  9.27703633469759E+00  -1.07793045528974E-01  -1.07793045528974E-01
  9.33160654843110E+00  -1.07162683596870E-01  -1.07162683596870E-01
  9.38617676216462E+00  -1.06539651376583E-01  -1.06539651376583E-01
  9.44074697589813E+00  -1.05923821764630E-01  -1.05923821764630E-01
  9.49531718963165E+00  -1.05315070579416E-01  -1.05315070579416E-01
  9.54988740336517E+00  -1.04713276477754E-01  -1.04713276477754E-01
  9.60445761709868E+00  -1.04118320874228E-01  -1.04118320874228E-01
  9.65902783083220E+00  -1.03530087863288E-01  -1.03530087863288E-01
  9.71359804456571E+00  -1.02948464143979E-01  -1.02948464143979E-01
  9.76816825829923E+00  -1.02373338947185E-01  -1.02373338947185E-01
  9.82273847203274E+00  -1.01804603965299E-01  -1.01804603965299E-01
  9.87730868576626E+00  -1.01242153284230E-01  -1.01242153284230E-01
  9.93187889949977E+00  -1.00685883317644E-01  -1.00685883317644E-01
  9.98644911323329E+00  -1.00135692743367E-01  -1.00135692743367E-01
  1.00410193269668E+01  -9.95914824418609E-02  -9.95914824418609E-02
  1.00955895407003E+01  -9.90531554366890E-02  -9.90531554366890E-02
  1.01501597544338E+01  -9.85206168369100E-02  -9.85206168369100E-02
  1.02047299681673E+01  -9.79937737813153E-02  -9.79937737813153E-02
  1.02593001819009E+01  -9.74725353844474E-02  -9.74725353844474E-02
  1.03138703956344E+01  -9.69568126843320E-02  -9.69568126843320E-02
  1.03684406093679E+01  -9.64465185918603E-02  -9.64465185918603E-02
  1.04230108231014E+01  -9.59415678417617E-02  -9.59415678417616E-02
  1.04775810368349E+01  -9.54418769451084E-02  -9.54418769451084E-02
  1.05321512505684E+01  -9.49473641432968E-02  -9.49473641432968E-02
  1.05867214643020E+01  -9.44579493634516E-02  -9.44579493634516E-02
  1.06412916780355E+01  -9.39735541752027E-02  -9.39735541752027E-02
  1.06958618917690E+01  -9.34941017487848E-02  -9.34941017487848E-02
  1.07504321055025E+01  -9.30195168144134E-02  -9.30195168144134E-02
  1.08050023192360E+01  -9.25497256228915E-02  -9.25497256228915E-02
  1.08595725329695E+01  -9.20846559074045E-02  -9.20846559074045E-02
  1.09141427467030E+01  -9.16242368464606E-02  -9.16242368464606E-02
  1.09687129604366E+01  -9.11683990279384E-02  -9.11683990279384E-02
  1.10232831741701E+01  -9.07170744142013E-02  -9.07170744142013E-02
  1.10778533879036E+01  -9.02701963082437E-02  -9.02701963082437E-02
  1.11324236016371E+01  -8.98276993208327E-02  -8.98276993208328E-02
