# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p
  3.82001496134607E+00  -4.94824026589944E-01  -1.49176319532340E-01  -7.61836245642456E-02   4.42969328798596E-01   1.74130621697062E-01
  3.87458517507958E+00  -4.92749519081424E-01  -1.43854783609268E-01  -7.22631225824392E-02   4.43098609925767E-01   1.71114464657754E-01
  3.92915538881310E+00  -4.90447974472478E-01  -1.38374701137991E-01  -6.82489623413892E-02   4.43060053977013E-01   1.67962025479975E-01
  3.98372560254661E+00  -4.87930637294181E-01  -1.32744983962579E-01  -6.41477630296271E-02   4.42858220459671E-01   1.64677537839317E-01
  4.03829581628013E+00  -4.85208473378762E-01  -1.26974400683780E-01  -5.99660504150539E-02   4.42497665352493E-01   1.61265250425392E-01
  4.09286603001364E+00  -4.82292167516771E-01  -1.21071570784061E-01  -5.57102517567534E-02   4.41982934665689E-01   1.57729421048102E-01
  4.14743624374716E+00  -4.79192121952869E-01  -1.15044959404889E-01  -5.13866911796448E-02   4.41318558443832E-01   1.54074311057701E-01
  4.20200645748067E+00  -4.75918455647091E-01  -1.08902872735132E-01  -4.70015854860640E-02   4.40509045189671E-01   1.50304180066530E-01
  4.25657667121419E+00  -4.72481004233735E-01  -1.02653453971896E-01  -4.25610403797622E-02   4.39558876687862E-01   1.46423280960736E-01
  4.31114688494770E+00  -4.68889320614814E-01  -9.63046798173056E-02  -3.80710470791210E-02   4.38472503208554E-01   1.42435855190671E-01
  4.36571709868122E+00  -4.65152676129607E-01  -8.98643574768731E-02  -3.35374792976163E-02   4.37254339071606E-01   1.38346128329049E-01
  4.42028731241473E+00  -4.61280062246007E-01  -8.33401221270508E-02  -2.89660905707197E-02   4.35908758553107E-01   1.34158305886332E-01
  4.47485752614825E+00  -4.57280192723284E-01  -7.67394348214138E-02  -2.43625119095154E-02   4.34440092116620E-01   1.29876569373131E-01
  4.52942773988176E+00  -4.53161506199557E-01  -7.00695808066596E-02  -1.97322497623363E-02   4.32852622952381E-01   1.25505072599811E-01
  4.58399795361528E+00  -4.48932169160632E-01  -6.33376682212429E-02  -1.50806842666874E-02   4.31150583808409E-01   1.21047938203784E-01
  4.63856816734879E+00  -4.44600079250037E-01  -5.65506271510004E-02  -1.04130677746380E-02   4.29338154098204E-01   1.16509254395299E-01
  4.69313838108231E+00  -4.40172868883050E-01  -4.97152090175650E-02  -5.73452363572186E-03   4.27419457270365E-01   1.11893071912889E-01
  4.74770859481583E+00  -4.35657909130219E-01  -4.28379862767337E-02  -1.05004522219601E-03   4.25398558426147E-01   1.07203401179886E-01
  4.80227880854934E+00  -4.31062313838492E-01  -3.59253524052342E-02   3.63550481772119E-03   4.23279462171579E-01   1.02444209653761E-01
  4.85684902228286E+00  -4.26392943960398E-01  -2.89835221555466E-02   8.31739509228990E-03   4.21066110691362E-01   9.76194193602845E-02
  4.91141923601637E+00  -4.21656412064003E-01  -2.20185320595790E-02   1.29910257973347E-02   4.18762382032365E-01   9.27329046048090E-02
  4.96598944974989E+00  -4.16859086998397E-01  -1.50362411630711E-02   1.76519288582959E-02   4.16372088585051E-01   8.77884898532304E-02
  5.02055966348340E+00  -4.12007098691426E-01  -8.04233197361948E-03   2.22957678949487E-02   4.13898975751731E-01   8.27899477754410E-02
  5.07512987721692E+00  -4.07106343058174E-01  -1.04231160617773E-03   2.69183380199099E-02   4.11346720791029E-01   7.77409974443387E-02
  5.12970009095043E+00  -4.02162487000402E-01   5.95848688920759E-03   3.15155654814976E-02   4.08718931828419E-01   7.26453026836987E-02
  5.18427030468395E+00  -3.97180973478688E-01   1.29549030318046E-02   3.60835071609832E-02   4.06019147023191E-01   6.75064705584470E-02
  5.23884051841746E+00  -3.92167026640512E-01   1.99419472603164E-02   4.06183499337775E-02   4.03250833882612E-01   6.23280500011002E-02
  5.29341073215098E+00  -3.87125656988864E-01   2.69147991415150E-02   4.51164099036178E-02   4.00417388714507E-01   5.71135305683567E-02
  5.34798094588449E+00  -3.82061666577244E-01   3.38688054494630E-02   4.95741315183741E-02   3.97522136209865E-01   5.18663413220356E-02
  5.40255115961801E+00  -3.76979654218102E-01   4.07994781267105E-02   5.39880865756626E-02   3.94568329147499E-01   4.65898498287642E-02
  5.45712137335152E+00  -3.71884020692860E-01   4.77024921382035E-02   5.83549731260497E-02   3.91559148213140E-01   4.12873612730147E-02
  5.51169158708504E+00  -3.66778973952722E-01   5.45736832280233E-02   6.26716142812410E-02   3.88497701925712E-01   3.59621176782817E-02
